trip_id,0
1325048,['1483346']
1448431,['1297116']
1252884,['1046715' '1098915' '1183778' '1296885' '1501607' '1536234']
1296701,
1066203,['1129329' '1168553' '1342878' '1356605' '1428685' '30043']
1245409,
1039069,"['1006347' '1037913' '1038527' '1045267' '1051582' '1073344' '1128637'
 '115385' '1154768' '1168840' '1185706' '1198452' '1216323' '123991'
 '1289856' '1301954' '1307928' '1315480' '1319104' '1393' '1427893'
 '1488720' '1490309' '1493615' '1505255' '1513837' '1555561' '156095'
 '1571713' '15830' '185690' '188681' '258764']"
1387718,['1004146' '1562691']
160526,
250328,
29550387#1_2.027221,
1106692,"['100563' '1013998' '1038072' '104269' '1064058' '1079165' '1082625'
 '1083030' '1089938' '109342' '1108306' '1114892' '1115746' '1125146'
 '1128607' '113211' '114800' '1171061' '1185784' '1186432' '1202131'
 '120370' '1205378' '120631' '1233272' '1237095' '123768' '1256458'
 '1278236' '128645' '130512' '1308113' '1311266' '1322793' '1333068'
 '1347260' '1356819' '1377774' '1380049' '1400740' '1430275' '14306'
 '1433967' '1439557' '1442190' '1466182' '1471738' '147393' '152604'
 '1550538' '1553150' '1560306' '1565008' '1585030' '159877' '161744'
 '175199' '184820' '187008' '200545' '230188' '234500' '246198' '255127'
 '268963' '310914' '384850']"
367279,
1172646,"['1013870' '1038694' '1056171' '1064792' '1087685' '108864' '1088832'
 '1090574' '1094031' '1099515' '1110373' '1117238' '1117313' '1125883'
 '1137784' '1139600' '1141472' '1147794' '1153565' '1171782' '117931'
 '118185' '1193459' '1197044' '120149' '1234361' '1234745' '1240466'
 '1247120' '1267043' '1276461' '1296537' '1356655' '1361213' '1389923'
 '1417661' '1419527' '1442308' '1444808' '1451259' '1455149' '1459710'
 '1464877' '146666' '1494560' '1497043' '1507385' '152097' '1524517'
 '1531047' '154743' '1555696' '1572449' '1575752' '163613' '179098'
 '184348' '195556' '195908' '210363' '21547' '22126' '221785' '249839'
 '258183' '273732' '330584' '350479' '352420' '373515']"
1120784,['1156208' '119093' '1344928' '22174']
1331817,
1316810,
1530667,"['100702' '1144501' '1158083' '1181036' '1224256' '12490' '1316460'
 '1382770' '1405890' '143974' '1442190' '154599' '1548569' '155489'
 '199222' '239147']"
1542691,['1178043' '442084']
29550387#1_2.028270,
1439763,
1396562,['1170088' '1181500' '1493814' '1536923' '1581388']
1080870,
1445700,
365512,
1172265,"['1001018' '1011411' '1026332' '1037532' '1045306' '1048384' '1050586'
 '1076364' '1089646' '109342' '1108306' '1112259' '1114892' '1115746'
 '114656' '114921' '1171061' '1199624' '1223227' '1236179' '1238098'
 '124684' '1256458' '1263588' '1263852' '1283362' '128645' '128674'
 '1293214' '1303309' '1305587' '1308113' '1313715' '1316942' '132065'
 '1325730' '1336326' '1340710' '135055' '1367473' '1377013' '1387522'
 '1395001' '1398029' '1401737' '1411777' '1418664' '1420393' '1453752'
 '1463213' '1471911' '1509272' '1519495' '1529580' '1536888' '1541906'
 '1544571' '1553150' '1569225' '1569479' '1569588' '1585643' '159529'
 '166646' '170088' '175199' '176982' '187008' '190180' '196975' '197976'
 '216918' '233306' '234500' '236323' '245488' '250517' '252173' '255428'
 '283081' '324147' '339471' '397128' '453029']"
1087308,
1528521,"['1002869' '1031357' '1034677' '1066112' '1067168' '1067612' '1100501'
 '1100560' '1149222' '1155136' '1167854' '1187218' '1235491' '1243681'
 '1290425' '1311684' '1313753' '1315645' '136894' '1372851' '139561'
 '1406521' '1420070' '1432143' '145452' '1456411' '1467004' '14694'
 '1488539' '149153' '1497986' '1508367' '1513171' '1526107' '1529722'
 '160607' '164712' '225890' '249161' '267571' '344770' '38858']"
29550387#1_1.027270,
29550387#1_2.027150,
1274080,
1501842,['1004146']
1302953,['1072163']
1156516,
1189862,['240060']
1159180,['387485']
1328606,['1181031' '1437663' '1448485' '1541221' '231134' '309468']
237164,['110205' '1218889' '1363903' '1535039']
1043990,['1004783' '1152403' '121891' '1353181' '139566' '1436731' '1489598']
1224172,['1349317' '302221']
1539758,['1352456']
1591292,
1512943,['1057484' '1425573']
1290750,['1134401' '1176784' '1291736' '1592168']
1195063,
57868214#1_2.027027,
1387724,['1384771']
1295997,['1037994' '1246848' '139749' '1419322' '143253']
57868214#1_1.028073,['57868214#1_1.024840' '57868214#1_2.027874']
1459907,
1398005,['1402581']
1257826,
57868214#1_1.027573,
1189067,"['1013536' '1023363' '1072263' '1072595' '1076364' '1082712' '1085502'
 '1117601' '1174193' '1284351' '1315629' '1316942' '1322773' '1326946'
 '1336545' '1342176' '1344006' '135055' '135823' '13728' '1386991'
 '1418664' '1429415' '1442344' '1453752' '1461729' '1465540' '1522340'
 '1534128' '1544505' '1544571' '1551283' '1569588' '186922' '197976'
 '202970' '410562' '413714']"
29550387#1_1.026286,
202842,"['102767' '1041361' '1050156' '1070807' '1074817' '1083713' '1096752'
 '1108013' '1142164' '1177543' '1181792' '1184867' '120767' '1209231'
 '1229005' '1231249' '1231329' '1238994' '1269978' '1271899' '1282491'
 '1288959' '1289715' '1290761' '1296976' '133515' '1352709' '1355863'
 '1375159' '1381375' '1392437' '1423371' '1427748' '1444674' '1453800'
 '1455088' '1476900' '1480006' '149686' '1503394' '1544193' '1547529'
 '1568464' '157404' '1583942' '167353' '187545' '189915' '211438' '265116'
 '283048' '299254' '323846' '353871']"
1248031,
29550387#1_1.028000,
101799,['1038075' '1090175' '1096503' '109654' '127184' '1279336' '136530']
29550387#1_1.026763,['29550387#1_1.024883']
1241588,"['1025126' '1033841' '1098077' '109914' '1157932' '116986' '1198111'
 '126442' '1282583' '1288601' '128946' '1326891' '1333378' '1386039'
 '1397940' '140311' '1510886' '1535825' '174206' '228510' '231134'
 '267125' '285740' '309468']"
115837,['1273745' '1392185']
57868214#1_1.025951,
59609802_1.031019,
1071441,
1488860,
1300668,"['117931' '1296537' '1302004' '1419527' '1452430' '148702' '1543619'
 '184348' '288917']"
1494814,['1136968']
207633,
1024704,['1293214' '1307623' '1558491' '199556' '397128']
308130,['1034835' '107218' '1256689' '29409']
434197,['1385492' '1420525' '296141']
1322974,
157874,['1241771' '1358640']
1111513,"['1001862' '1137508' '1204989' '120599' '1214506' '131394' '1391936'
 '1394058' '1421873']"
211054,"['1022879' '1072865' '1169255' '1197209' '1213599' '1276107' '1285347'
 '1295890' '1398057' '1484808' '256076']"
335205,
1023987,
29550387#1_1.026939,
1299061,
1200800,
1113486,
59609802_1.026333,['59609802_2.026505']
59609802_2.027641,
286827,"['1022506' '1026332' '1045306' '1048384' '1050586' '1080177' '1096680'
 '1109702' '1132692' '1143640' '114800' '1204793' '1211382' '122420'
 '1239747' '1266340' '1273011' '1288959' '1316942' '1350418' '135055'
 '1374218' '1386991' '1418664' '1443762' '1514781' '1525108' '1534128'
 '1544571' '1548432' '1569588' '1570948' '1591307' '186922' '197976'
 '199476' '251729' '3051' '769414']"
1352387,['1041361' '1074817' '1237698' '323846']
1143969,
59609802_1.027216,['59609802_1.031533']
206110,
17811,
1019353,
120182,['1311007']
1329659,['1007600' '121037' '1355664']
29550387#1_1.032188,
1144401,"['1035704' '1072422' '1108989' '112675' '1153565' '1169757' '130825'
 '1389524' '1420174' '196920' '203276']"
57868214#1_3.026459,
1521283,['255541']
187168,['1104877' '1112682' '1128631' '1490986' '1538382' '182557']
57868214#1_2.027565,['57868214#1_2.026924']
290688,
165849,['1141917' '1225460' '1270809']
